"","mean","sd","95%_HPDL","95%_HPDU","Rhat","n.eff","median"
"mean.phi.t[17]",0.917,0.026,0.864,0.964,1.01,1478,0.92
"mean.phi.t[18]",0.922,0.021,0.879,0.962,1,1251,0.922
"mean.phi.t[19]",0.915,0.02,0.876,0.954,1,1761,0.915
"mean.phi.t[20]",0.915,0.02,0.876,0.956,1,1229,0.914
"mean.phi.t[21]",0.904,0.023,0.854,0.944,1,1973,0.906
"mean.phi.t[22]",0.907,0.024,0.859,0.955,1,1905,0.908
"mean.psi12[1, 1]",0.88,0.118,0.654,0.998,1.05,697,0.915
"mean.psi12[2, 1]",0.679,0.136,0.408,0.904,1.03,1340,0.704
"mean.psi12[3, 1]",0.707,0.139,0.412,0.912,1.03,853,0.739
"mean.psi12[4, 1]",0.696,0.145,0.408,0.942,1,1018,0.72
"mean.psi12[5, 1]",0.703,0.164,0.371,0.937,1.07,666,0.74
"mean.psi12[6, 1]",0.765,0.119,0.547,0.959,1.04,977,0.785
"mean.psi12[7, 1]",0.811,0.13,0.553,0.99,1.02,846,0.844
"mean.psi12[8, 1]",0.849,0.107,0.641,0.989,1.01,677,0.877
"mean.psi12[9, 1]",0.698,0.157,0.384,0.947,1.05,791,0.727
"mean.psi12[10, 1]",0.801,0.142,0.514,0.982,1.05,781,0.838
"mean.psi12[11, 1]",0.867,0.096,0.686,0.994,1.03,850,0.89
"mean.psi12[12, 1]",0.828,0.117,0.592,0.975,1.02,605,0.86
"mean.psi12[13, 1]",0.312,0.181,0,0.606,1.01,1122,0.313
"mean.psi12[14, 1]",0.814,0.123,0.578,0.984,1.05,822,0.843
"mean.psi12[15, 1]",0.828,0.129,0.583,0.99,1.1,923,0.859
"mean.psi12[16, 1]",0.745,0.183,0.331,0.976,1.06,728,0.797
"mean.psi12[17, 1]",0.716,0.183,0.326,0.972,1.06,602,0.761
"mean.psi12[18, 1]",0.769,0.162,0.45,0.991,1.09,700,0.811
"mean.psi12[19, 1]",0.836,0.104,0.648,0.982,1.07,785,0.857
"mean.psi12[20, 1]",0.602,0.194,0.189,0.923,1.01,981,0.634
"mean.psi12[21, 1]",0.698,0.131,0.424,0.922,1.02,1227,0.718
"mean.psi12[22, 1]",0.679,0.171,0.332,0.961,1.03,1553,0.712
"mean.psi12[1, 2]",0.666,0.187,0.27,0.965,1.02,1159,0.707
"mean.psi12[2, 2]",0.425,0.226,0,0.792,1.01,810,0.435
"mean.psi12[3, 2]",0.598,0.211,0.166,0.954,1.01,724,0.629
"mean.psi12[4, 2]",0.554,0.227,0.088,0.93,1.01,715,0.588
"mean.psi12[5, 2]",0.459,0.222,0,0.804,1.01,905,0.476
"mean.psi12[6, 2]",0.705,0.173,0.351,0.974,1.02,948,0.74
"mean.psi12[7, 2]",0.733,0.177,0.372,0.984,1.01,753,0.772
"mean.psi12[8, 2]",0.563,0.246,0.059,0.93,1.01,635,0.616
"mean.psi12[9, 2]",0.39,0.194,0,0.697,1.01,826,0.398
"mean.psi12[10, 2]",0.676,0.173,0.32,0.949,1.02,1096,0.714
"mean.psi12[11, 2]",0.706,0.183,0.317,0.972,1.01,785,0.752
"mean.psi12[12, 2]",0.596,0.223,0.143,0.966,1.01,590,0.629
"mean.psi12[13, 2]",0.206,0.194,0,0.57,1,757,0.154
"mean.psi12[14, 2]",0.563,0.185,0.178,0.875,1.02,866,0.594
